character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
恕,shu4,10,10896,2038,0.6848616050719035,8422,1473,1144,984,622,365,26.237,7.185,5.474,4.754,3.702,4.056,8.568,5.019178833355665,5.337860868334909,5.198057298875228,2.75,2.8,2.9
数,shu4,13,3530,2663,0.1399967705473922,1127,516,687,854,1886,1122,3.511,2.517,3.287,4.126,11.226,12.467,6.189,5.143331516388465,957.5993774639373,3.018362857384774,2.9375,2.9,3
漱,shu4,14,246,471,-0.3138075313807531,357,43,48,66,120,83,1.112,0.21,0.23,0.319,0.714,0.922,0.585,5.79997073344623,3.4085135665271107,5.355707818394719,2.5,2.9,2.6
澍,shu4,15,18586,5303,0.5560299719536188,1644,1268,2583,4466,6633,7258,5.121,6.185,12.359,21.575,39.482,80.644,27.561,4.544226590772653,1.993658878534725,5.523797688164724,3.5,3.3,3.1
率,shuai4,11,3544,678,0.6788252013263856,144,88,290,1172,1664,864,0.449,0.429,1.388,5.662,9.905,9.6,4.572,5.253988892248074,339.4365019647187,3.467963880573469,3.25,3,3.2
帅,shuai4,5,1656210,124759,0.8598976175329273,9285,15895,66060,481684,836326,372187,28.925,77.537,316.077,2326.976,4978.131,4135.411,1977.176,2.7037350714706725,21.28713189661271,4.651945816742671,3.75,3.4,3.1
栓,shuan1,10,95449,16713,0.7019846293753678,44348,24833,16191,15410,9518,1834,138.156,121.137,77.469,74.444,56.655,20.378,81.373,4.08421511685327,6.238222942511881,5.140368044437053,2.6875,3,2.8
双,shuang1,4,1548661,1588049,-0.01255710601235052,694269,569926,565210,667690,489646,150095,2162.832,2780.127,2704.354,3225.556,2914.56,1667.722,2575.859,2.588909344428239,312.42563973940946,3.5038654790165227,3.5,3.3,3.3
霜,shuang1,17,16910,159179,-0.8079380313364265,7849,11213,19384,42075,66542,29066,24.452,54.698,92.746,203.261,396.083,322.956,182.366,3.7366811887383435,28.68296322020927,4.527492746049751,3.5,3,3.3
爽,shuang3,11,173140,472804,-0.463916376651846,13044,13880,45303,188323,268956,116844,40.636,67.707,216.761,909.773,1600.929,1298.267,689.012,3.1611433563809106,27.653977992578444,4.542815077002045,3.5625,3.4,3.3
水,shui3,4,1932983,1509759,0.1229322441240151,1543554,775476,552520,355790,168617,47554,4808.579,3782.81,2643.636,1718.792,1003.673,528.378,2414.311,2.6170269407353057,1792.8781359932602,2.746207063333905,3.0625,3.1,2.8
税,shui4,12,1227,905,0.15103189493433397,399,141,179,471,734,200,1.243,0.688,0.856,2.275,4.369,2.222,1.942,5.531357331608489,113.70286765320625,3.9404257242923215,2.375,2.7,2.4
顺,shun4,9,3793441,1256480,0.50237637380862,2177746,1049425,751701,488609,377603,198908,6784.255,5119.146,3596.656,2360.43,2247.637,2210.089,3719.702,2.4293751122784495,192.8704186040529,3.712488451968736,4,3.4,3.4
